"Код";"Наименование";"Код GIVZ";"Состояние подписи";
"729";"район Солнцево";"816";"Запись не подписана";
"735";"район Фили-Давыдково";"819";"Запись не подписана";
"809";"район Строгино";"905";"Запись не подписана";
"813";"район Щукино";"907";"Запись не подписана";
"905";"Бескудниковский район";"203";"Запись не подписана";
"917";"район Западное Дегунино";"209";"Запись не подписана";
"919";"район Коптево";"210";"Запись не подписана";
"931";"Хорошёвский район";"217";"Запись не подписана";
"1005";"район Крюково";"1005";"Запись не подписана";
"1011";"район Силино";"1011";"Запись не подписана";
"1102";"поселение Киевский";"1202";"Запись не подписана";
"1107";"поселение Первомайское";"1207";"Запись не подписана";
"1110";"поселение Щаповское";"1210";"Запись не подписана";
"1203";"поселение Десеновское";"1103";"Запись не подписана";
"1208";"поселение Рязановское";"1108";"Запись не подписана";
"1211";"поселение Щербинка";"1111";"Запись не подписана";
"501";"район Бирюлёво Восточное";"606";"Запись не подписана";
"505";"район Братеево";"608";"Запись не подписана";
"513";"район Зябликово";"611";"Запись не подписана";
"535";"район Чертаново Центральное";"620";"Запись не подписана";
"537";"район Чертаново Южное";"621";"Запись не подписана";
"611";"Ломоносовский район";"706";"Запись не подписана";
"613";"Обручевский район";"707";"Запись не подписана";
"703";"район Дорогомилово";"805";"Запись не подписана";
"705";"район Крылатское";"806";"Запись не подписана";
"713";"Можайский район";"809";"Запись не подписана";
"721";"район Очаково-Матвеевское";"820";"Запись не подписана";
"723";"район Проспект Вернадского";"814";"Запись не подписана";
"731";"район Тропарёво-Никулино";"817";"Запись не подписана";
"803";"район Митино";"902";"Запись не подписана";
"901";"район Аэропорт";"201";"Запись не подписана";
"909";"Войковский район";"205";"Запись не подписана";
"915";"Дмитровский район";"208";"Запись не подписана";
"923";"Савёловский район";"213";"Запись не подписана";
"929";"район Ховрино";"216";"Запись не подписана";
"1009";"район Матушкино";"1009";"Запись не подписана";
"1010";"район Савёлки";"1010";"Запись не подписана";
"1105";"поселение Михайлово-Ярцевское";"1205";"Запись не подписана";
"1106";"поселение Новофедоровское";"1206";"Запись не подписана";
"1202";"поселение Воскресенское";"1102";"Запись не подписана";
"1206";"поселение Московский";"1106";"Запись не подписана";
"1210";"поселение Филимонковское";"1110";"Запись не подписана";
